Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
leftDoubleImage,Fifteen Million Merits,"Black Mirror (S1, E2), Netflix","Set in a world where humans live within a purely digital world, surrounded by interactive screens at all times. Viewed through dystopian lenses, instead of offering an escape from the real world, the digital interfaces end up being a confinement that traps people from the real world.

In the world portrayed, people interact with digital interfaces more than they do with each other - the vending machine view-window, bathroom mirror, even the door handle opening from their bedroom to the bathroom is represented on a screen. All the technology is powered by the people riding exercise bikes, and in return, they receive ‘merits’ that can be used as a universal currency. Such a notion explores the interdependence between humans and technology, and invites us to question whether technology serves to improve our lives, or have we become slaves to our own invention?",https://static.wikia.nocookie.net/black-mirror/images/3/38/Blackmirror.jpg/revision/latest?cb=20160414093416,https://vector-bsfa.com/wp-content/uploads/2022/02/image.png,"Film stills from the film Fifteen Million Merits, 2011.",,https://mubi.com/en/films/black-mirror-fifteen-million-merits/trailer,"Cyberpunk, Film, Dystopian",
leftDoubleImage,Paper Planes,"Active Theory, 2016","Paper Planes is a simple web-based concept where users around the world can send and receive virtual paper planes to create instant connections with others anonymously. By accessing the site from their mobile device, they can add a stamp from their current location onto a sheet of paper, fold it into a paper plane, and swipe across the screen to send it into flight. The paper plane will show up on the desktop screen and can be caught by other users accessing the site from anywher around the world. Users can also click on other planes in flight to catch them and add their own stamp onto them. The connections Paper Planes fosters provides a special and personal experience that creates a momentary appreciation of humanity.

I loved how simple yet emotionally affective this site was, as well as the layers of interaction to it. It felt almost like a time-capsule left by people around the world, that I could peer into and leave my own quiet mark on.",https://assets.awwwards.com/awards/sites_of_the_day/2016/10/awwwards-sotd-paperplanes-3-.jpg,https://assets.awwwards.com/awards/sites_of_the_day/2016/10/awwwards-sotd-paperplanes-1.jpg,Wireframes detailing instructions on using the site as viewed on a mobile device,Desktop screen view of the Paper Planes site showing planes in flight across the world.,https://paperplanes.world/,"Community, Website, Interactive",
left,Robert Borghesi,Creative Developer,"Robert Borghesi specialises in creative coding, using WebGL to produce immersive digital experiences. On his website, the Projects menu features animated hover effects, where a preview of each project morphs into appearance from pixels. Sound effects and motion are also incorporated, creating a wonderfully tactile audio-visual experience upon a simple mouse-over. When experimenting with creative coding myself, I found Borghesi's creative style to be a huge inspiration, and hoped that one day I would also have the skills to create work that is not just visually spectacular, but also experiential. My personal favourite is AstroDither (pictured).",https://astrodither.robertborghesi.is/share.jpg,,"AstroDither, an audio reactive Threejs /WebGPU experiment by Robert Borghesi on dithering and fluid simulation with TSL.
",,https://robertborghesi.is/,"Sound, Graphics, Electronic, Website, JS",
left,Utopia Tokyo,"Simon Smeraldi & Andrew Measham, 2026","""Utopia Tokyo, a digital experience where hidden histories converge with a reimagined future, and ancient masks become symbols of untold possibilities."" - Awwwards, 2026. With a variety of interactive elements including a mask generator, a 3D mask model that follows the cursor, scroll animations and screen transitions, and the hover animations in the image gallery, I found Utopia Tokyo to be a playground of inspiration demonstrating the endless possibilities of web interaction experimentation.",https://assets.awwwards.com/awards/submissions/2026/03/69a5b7c4816c8910320189.png,,"Desktop thumbnail of Utopia Tokyo website featured on Awwwards as Site of the Day for March 29, 2026.",,https://www.utopiatokyo.com/,"Website, Graphics, Animation",
left,Imaginator,"Loose Collective, Ongoing","An immersive audio-visual play experience located in Docklands, Melbourne, where interactive installations from multiple digital artists transport visitors into an imaginative, futuristic world enabled by technology.",https://imaginator.com.au/wp-content/uploads/2023/03/WISHING-WELL.webp,,"Parachute Cinema, Imaginator, Ongoing.",,https://imaginator.com.au/,"Projection, AI, Sound, Immersive, Artwork", 
leftDoubleImage,Ryoji Ikeda,"Artist, Paris FRA","A Japanese artist and electronic composer currently working and living between Kyoto and Paris, Ryoji Ikeda specialises in immersive llive performances and installation pieces that focus on light, sound and mathematic aesthetics. His works often use large LED screens and speakers to project large mathematical datasets as visual displays in public spaces, through programming.

I was especially inspired how electronic music complement the algorithimic patterns in his work, creating an immersive experience that seemingly transports viewers inside a computer. It made me consider our increasing dependence on technology and data, and the the reality of living within a digital world. Notable works include 'data.scan [nº1b-9b]' (2011-2022) and 'data.flux [12 XGA version]' (2017).",https://www.ryojiikeda.com/data/work/data.scan.jpg,https://www.ryojiikeda.com/data/work/2017_Parallax-03_copy.jpg,"data.scan [nº1b-9b], 2011-2022, LCD monitor displays and computers, 	W35.6 x H61.1 cm (each)","data.flux [12 XGA version], 2017, 12 video projectors, computer, speakers, W41.3 x H4.5 x D36.0 m",https://www.ryojiikeda.com/,"Computer, Mathematic, Graphics, Sound, Data, Electronic, Programming, Projection, Immersive",
left,New Nature,"Marpi Studio, 2008","""Inspired by biology, ecology, and the underlying mathematics of the natural world, New Nature is an ever-unfolding digital world of speculative creatures and landscapes.""

Installed at ARTECHOUSE in Washington, DC, from October 2018 - January 2019, New Nature was a digital world of creatures, powered by complex algorithms to mimic the lifelike behaviours of the natural world. These alien organisms detect and respond to audience interactions including touch, approach and movement. The full exhibition comprised four rooms, surround projections, LED structures, responsive floors and 13 interactive terrarium stations. This inspired me to further examine how digital media can creatively reflect and potentially immortalise aspects of nature.",https://www.marpi.studio/images/f/3/8/0/4/f380483c0a3db54401f5d3d42f813b9568d6e63c-nn2.jpg,,One of four immersive rooms featuring an interactive projection and surround-sound system.,,https://www.marpi.studio/exhibitions/new-nature,"Nature, AI, Interactive, Immersive",
left,Zach Blas,"Artist, West Virginia USA","Zach Blas is an artist and filmmaker whose work feature critical enquiry on computational technologies, manifested through moving images installations, sculptures and web-based media. Using AI, computer programming, sound and film, his work often examines issues arising from technology and their impact on society and humanity.",https://zachblas.info/wp-content/uploads/2022/10/BB12_Zach-Blas_installation-view_01_web-1900x1267.jpg,,"Profundior (Lachryphagic Transmutation Deus-Motus-Data Network), 2022, Ten-channel 4K video (color with 5.1 surround sound, 18:00 min.), black-mirror black box, stainless steel statues, stainless steel troughs, flexible steel conduits, black spiral hoses, stainless steel pool, artificial tears, pool pumps, stainless steel display stands",,https://zachblas.info/works/,"Cyberpunk, AI, Computer, Dystopian, Sound, Film, Installation",
leftDoubleImage,facebook,"Lim Si Ping (Handson), 2019","facebook' is an interactive installation that uses facial recognition technology to track the reader's personal data through multiple search engines, filling in a narrative template on its back-end to develop, in real time, a story tailored to the individual. It comprises of a physical book and two web cameras, one that tracks the user's page flipping motion, to project new content onto each new spread, and a second which constantly traces their face to derive data to be injected into the story. Depending on the user, details of the storyline will be completely different, including their name, age, occupation, locstion and relationships. Created in ""dialogue with big brother"", the work examines the role of social media, the digital footprint, data privacy.",https://www.designboom.com/twitterimages/uploads/2019/01/handson-facebook-interactive-facial-recognition-book-story-designboom-1200.jpg,https://static.designboom.com/wp-content/dbsub/423513/2019-01-17/img_3_1547681443_9b746949e2c8288319cf7493deaa9bc1.jpg,"One webcam detects the viewer's face and projects it onto facebook, while reaching into backend databases for information",A narrative tailored to the viewer unfolds across the pages,https://www.designboom.com/art/handson-facebook-interactive-facial-recognition-book-story-01-18-2019/,"Webcam, Data, Projection, Processing, Interactive, Installation",
left,Learning to See Series,"Memo Atken, Ongoing","An ongoing collection of works that uses machine learning and AI to produce live image interpretations of the real world, through filters of its learned image dataset. The result is these dream-like artistic interpretations of mundane reality, making us question how we make sense of the world, our own consciousness influenced by expectations and existing beliefs. I found the creative and philosophical application of ML and AI especially refreshing, as it urged me to consider future implications of such technology on the way we experience the world.",https://www.memo.tv/wpmemo/wp-content/uploads/2017/08/MSA_LearningToSee_Barbican2019-1-768x958.jpg,,"Installation view at “AI: More than Human”, The Barbican, London, UK, 2019",,https://www.memo.tv/works/learning-to-see/#bio,"Nature, Webcam, AI, ML, Computer, Artwork",
